"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Ln Cortisol (ug/dL)","Length-for-Age Z-Score 3 months","303","2.66","3.29","-1.25","-1.22","0.02 (-0.16, 0.21)","0.82"
"4","","Weight-for-Length Z-Score 3 months","336","2.66","3.29","-0.27","-0.3","-0.03 (-0.2, 0.15)","0.77NA"
"5","","Length-for-Age Z-Score 14 months","502","2.52","3.26","-1.11","-1.11","0 (-0.15, 0.14)","0.99"
"6","","Weight-for-Length Z-Score 14 months","504","2.52","3.27","-0.86","-0.88","-0.02 (-0.16, 0.12)","0.82NA"
"7","","Ln IGF-1 14 months (ug/L)","424","2.46","3.26","39.16","38.05","-1.12 (-3.99, 1.76)","0.45NA"
"8","","Length-for-Age Z-Score 28 months","533","2.53","3.27","-1.45","-1.5","-0.05 (-0.16, 0.06)","0.37"
"9","","Weight-for-Length Z-Score 28 months","535","2.53","3.27","-0.94","-1.04","-0.1 (-0.21, 0.01)","0.08NA"
"10","","Ln IGF-1 28 months (ug/L)","498","2.53","3.26","51.84","48.59","-3.25 (-8.52, 2.01)","0.23NA"
