"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Ln AGP (g/L)","Length-for-Age Z-Score 3 months","374","-1.11","-0.58","-1.05","-1.21","-0.16 (-0.37, 0.05)","0.14","0.39","-1.2","-1.4","-0.2 (-0.41, 0)","0.05","0.21"
"4","Ln AGP (g/L)","Length-for-Age Z-Score 14 months","534","-1.11","-0.54","-1.4","-1.37","0.03 (-0.15, 0.2)","0.78","0.88","-0.85","-0.98","-0.13 (-0.37, 0.11)","0.28","0.42"
"5","Ln AGP (g/L)","Ln IGF-1 14 months (ug/L)","431","-1.14","-0.54","36.76","38.57","1.81 (-0.56, 4.17)","0.13",NA,"38.74","40.07","1.32 (-1.03, 3.67)","0.27",NA
"6","","Length-for-Age Z-Score 28 months","544","-1.12","-0.58","-1.41","-1.32","0.08 (-0.18, 0.35)","0.54","0.81","-1.4","-1.41","-0.01 (-0.19, 0.18)","0.95","0.95"
"7","Ln AGP (g/L)","Ln IGF-1 28 months (ug/L)","507","-1.14","-0.58","48.26","51.11","2.85 (0.53, 5.17)","0.02",NA,"50.95","53.52","2.58 (0.34, 4.81)","0.02",NA
"8","","","","","","","","","","","","","","",""
"9","Ln CRP (mg/L)","Length-for-Age Z-Score 3 months","374","0.1","1.5","-1.25","-1.03","0.21 (-0.09, 0.52)","0.17","0.39","-1.39","-1.17","0.22 (-0.1, 0.55)","0.18","0.41"
"10","Ln CRP (mg/L)","Length-for-Age Z-Score 14 months","534","0","1.43","-1.38","-1.4","-0.03 (-0.14, 0.09)","0.66","0.85","-1.14","-1.02","0.12 (-0.08, 0.32)","0.24","0.42"
"11","Ln CRP (mg/L)","Ln IGF-1 14 months (ug/L)","431","-0.12","1.41","37.11","38.35","1.24 (-1.18, 3.66)","0.32",NA,"38.54","39.55","1.01 (-1.42, 3.45)","0.42",NA
"12","","Length-for-Age Z-Score 28 months","544","-0.06","1.42","-1.51","-1.26","0.25 (0.02, 0.48)","0.03","0.15","-1.5","-1.29","0.22 (0.01, 0.42)","0.04","0.21"
"13","Ln CRP (mg/L)","Ln IGF-1 28 months (ug/L)","507","-0.09","1.41","49.58","50.46","0.88 (-2.06, 3.81)","0.57",NA,"49.86","51.38","1.52 (-1.84, 4.88)","0.38",NA
"14","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","",""
"16","Sum score of 13 cytokines","Length-for-Age Z-Score 3 months","285","-0.69","0.65","-1.36","-1.23","0.13 (-0.22, 0.48)","0.46","0.81","-1.34","-1.23","0.11 (-0.28, 0.5)","0.59","0.66"
"17","Sum score of 13 cytokines","Length-for-Age Z-Score 14 months","435","-0.64","0.64","-1.35","-1.36","-0.01 (-0.2, 0.18)","0.93","0.93","-1.22","-1.3","-0.08 (-0.33, 0.16)","0.53","0.66"
"18","Sum score of 13 cytokines","Ln IGF-1 14 months (ug/L)","366","-0.63","0.64","36.41","35.45","-0.96 (-3.8, 1.89)","0.52",NA,"38.84","37.11","-1.72 (-4.33, 0.89)","0.2",NA
"19","","Length-for-Age Z-Score 28 months","512","-0.64","0.65","-1.42","-1.54","-0.12 (-0.23, -0.01)","0.03","0.15","-1.27","-1.45","-0.18 (-0.41, 0.05)","0.13","0.39"
"20","Sum score of 13 cytokines","Ln IGF-1 28 months (ug/L)","481","-0.64","0.65","50.3","46.84","-3.46 (-7.84, 0.91)","0.12",NA,"50.99","47.27","-3.72 (-8.1, 0.66)","0.1",NA
