"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Vitamin D (nmol/L)","Length-for-Age Z-Score 3 months","374","32.4","53.54","-1.12","-1.2","-0.08 (-0.24, 0.09)","0.37","0.9","-1.25","-1.31","-0.06 (-0.23, 0.11)","0.49","0.77"
"4","Vitamin D (nmol/L)","Length-for-Age Z-Score 14 months","534","32.59","54.81","-1.37","-1.43","-0.06 (-0.18, 0.06)","0.32","0.9","-0.91","-0.99","-0.07 (-0.19, 0.04)","0.2","0.76"
"5","Vitamin D (nmol/L)","Ln IGF-1 14 months (ug/L)","431","32.48","54.53","37.57","37.04","-0.53 (-3.7, 2.64)","0.76",NA,"38.98","39.81","0.83 (-2.15, 3.81)","0.6",NA
"6","","Length-for-Age Z-Score 28 months","544","32.51","55.34","-1.44","-1.49","-0.05 (-0.17, 0.08)","0.46","0.9","-1.41","-1.48","-0.06 (-0.19, 0.06)","0.34","0.76"
"7","Vitamin D (nmol/L)","Ln IGF-1 28 months (ug/L)","507","32.59","55.53","49.92","53.32","3.4 (-2.3, 9.11)","0.24",NA,"51.41","54.77","3.36 (-2, 8.71)","0.22",NA
"8","","","","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","",""
"10","Ln RBP (umol/L)","Length-for-Age Z-Score 3 months","374","0.13","0.52","-1.11","-1.17","-0.07 (-0.29, 0.16)","0.57","0.9","-1.3","-1.28","0.01 (-0.16, 0.19)","0.87","0.92"
"11","Ln RBP (umol/L)","Length-for-Age Z-Score 14 months","534","0.13","0.52","-1.38","-1.39","-0.01 (-0.13, 0.1)","0.82","0.9","-0.93","-0.9","0.03 (-0.09, 0.15)","0.63","0.81"
"12","Ln RBP (umol/L)","Ln IGF-1 14 months (ug/L)","431","0.13","0.52","37.26","38.14","0.88 (-1.23, 2.99)","0.42",NA,"37.72","39.5","1.78 (-0.33, 3.9)","0.1",NA
"13","","Length-for-Age Z-Score 28 months","544","0.12","0.51","-1.41","-1.39","0.02 (-0.17, 0.21)","0.84","0.9","-1.41","-1.42","-0.01 (-0.11, 0.1)","0.92","0.92"
"14","Ln RBP (umol/L)","Ln IGF-1 28 months (ug/L)","507","0.13","0.52","49.05","50.8","1.75 (-0.84, 4.34)","0.19",NA,"51","52.65","1.65 (-0.65, 3.94)","0.16",NA
"15","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","",""
"18","Ln sTfR (mg/L)","Length-for-Age Z-Score 3 months","374","1.3","1.74","-1.17","-1.19","-0.01 (-0.2, 0.17)","0.9","0.9","-1.34","-1.24","0.1 (-0.09, 0.29)","0.31","0.76"
"19","Ln sTfR (mg/L)","Length-for-Age Z-Score 14 months","534","1.29","1.7","-1.18","-1.51","-0.33 (-0.6, -0.06)","0.02","0.15","-0.75","-0.92","-0.17 (-0.41, 0.07)","0.17","0.76"
"20","Ln sTfR (mg/L)","Ln IGF-1 14 months (ug/L)","431","1.29","1.68","37.38","40.03","2.65 (-1.96, 7.26)","0.26",NA,"38.12","40.71","2.59 (-1.87, 7.04)","0.26",NA
"21","","Length-for-Age Z-Score 28 months","544","1.3","1.71","-1.4","-1.43","-0.03 (-0.25, 0.19)","0.79","0.9","-1.42","-1.36","0.07 (-0.13, 0.26)","0.51","0.77"
"22","Ln sTfR (mg/L)","Ln IGF-1 28 months (ug/L)","507","1.3","1.7","50.46","49.83","-0.64 (-3.12, 1.84)","0.63",NA,"50.63","53.53","2.9 (-1.81, 7.6)","0.23",NA
"23","","","","","","","","","","","","","","",""
