"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Vitamin D (nmol/L)","Length-for-Age Z-Score 3 months","307","32.57","53.61","-1.25","-1.31","-0.06 (-0.23, 0.11)","0.49"
"4","","Weight-for-Length Z-Score 3 months","305","32.61","53.81","-0.2","-0.2","0 (-0.31, 0.3)","0.99"
"5","","Length-for-Age Z-Score 14 months","507","32.59","54.56","-0.89","-0.96","-0.07 (-0.18, 0.04)","0.21"
"6","","Weight-for-Length Z-Score 14 months","509","32.61","54.58","-0.85","-0.77","0.08 (-0.12, 0.29)","0.44"
"7","","Ln IGF-1 14 months (ug/L)","421","32.43","54.53","38.98","39.81","0.83 (-2.15, 3.81)","0.6"
"8","","Length-for-Age Z-Score 28 months","538","32.45","55.29","-1.41","-1.48","-0.06 (-0.19, 0.06)","0.34"
"9","","Weight-for-Length Z-Score 28 months","541","32.53","55.33","-0.85","-0.81","0.04 (-0.18, 0.26)","0.72"
"10","","Ln IGF-1 28 months (ug/L","504","32.6","55.52","51.41","54.77","3.36 (-2, 8.71)","0.22"
"11","","","","","","","","",""
"12","","","","","","","","",""
"13","Ln RBP (umol/L)","Length-for-Age Z-Score 3 months","307","0.13","0.53","-1.3","-1.28","0.01 (-0.16, 0.19)","0.87"
"14","","Weight-for-Length Z-Score 3 months","305","0.13","0.53","-0.39","0.07","0.46 (0.13, 0.78)","0.01*"
"15","","Length-for-Age Z-Score 14 months","507","0.13","0.52","-0.91","-0.88","0.04 (-0.08, 0.15)","0.56"
"16","","Weight-for-Length Z-Score 14 months","509","0.13","0.52","-0.92","-0.64","0.28 (0.09, 0.48)","0*"
"17","","Ln IGF-1 14 months (ug/L)","421","0.13","0.52","37.72","39.5","1.78 (-0.33, 3.9)","0.1"
"18","","Length-for-Age Z-Score 28 months","538","0.12","0.51","-1.41","-1.42","-0.01 (-0.11, 0.1)","0.92"
"19","","Weight-for-Length Z-Score 28 months","541","0.12","0.51","-0.89","-0.84","0.05 (-0.06, 0.17)","0.4"
"20","","Ln IGF-1 28 months (ug/L","504","0.13","0.52","51","52.65","1.65 (-0.65, 3.94)","0.16"
"21","","","","","","","","",""
"22","","","","","","","","",""
"23","","","","","","","","",""
"24","Ln sTfR (mg/L)","Length-for-Age Z-Score 3 months","307","1.3","1.74","-1.34","-1.24","0.1 (-0.09, 0.29)","0.31"
"25","","Weight-for-Length Z-Score 3 months","305","1.3","1.74","-0.14","-0.15","-0.01 (-0.26, 0.24)","0.96"
"26","","Length-for-Age Z-Score 14 months","507","1.29","1.7","-0.73","-0.91","-0.18 (-0.43, 0.06)","0.14"
"27","","Weight-for-Length Z-Score 14 months","509","1.29","1.7","-0.8","-0.76","0.04 (-0.07, 0.16)","0.46"
"28","","Ln IGF-1 14 months (ug/L)","421","1.29","1.68","38.12","40.71","2.59 (-1.87, 7.04)","0.26"
"29","","Length-for-Age Z-Score 28 months","538","1.3","1.71","-1.42","-1.36","0.07 (-0.13, 0.26)","0.51"
"30","","Weight-for-Length Z-Score 28 months","541","1.3","1.71","-0.87","-0.74","0.13 (-0.08, 0.33)","0.22"
"31","","Ln IGF-1 28 months (ug/L","504","1.3","1.7","50.63","53.53","2.9 (-1.81, 7.6)","0.23"
"32","","","","","","","","",""
